Date,Price
21.06.2023,"641,40"
22.06.2023,"623,20"
23.06.2023,"613,80"
26.06.2023,"617,20"
27.06.2023,"626,60"
28.06.2023,"625,20"
29.06.2023,"622,60"
30.06.2023,"613,00"
03.07.2023,"610,20"
04.07.2023,"602,80"
05.07.2023,"605,20"
06.07.2023,"607,00"
07.07.2023,"605,80"
10.07.2023,"616,00"
11.07.2023,"622,80"
12.07.2023,"628,60"
13.07.2023,"640,60"
14.07.2023,"661,40"
17.07.2023,"684,60"
18.07.2023,"676,80"
19.07.2023,"669,20"
20.07.2023,"658,60"
21.07.2023,"671,40"
24.07.2023,"681,60"
25.07.2023,"679,80"
26.07.2023,"676,20"
27.07.2023,"697,40"
28.07.2023,"721,40"
31.07.2023,"716,60"
01.08.2023,"729,60"
02.08.2023,"723,00"
03.08.2023,"747,80"
04.08.2023,"729,80"
07.08.2023,"721,80"
08.08.2023,"731,00"
09.08.2023,"782,00"
10.08.2023,"761,60"
11.08.2023,"772,20"
14.08.2023,"734,40"
15.08.2023,"737,80"
16.08.2023,"709,80"
17.08.2023,"719,80"
18.08.2023,"724,40"
21.08.2023,"754,60"
22.08.2023,"743,00"
23.08.2023,"712,40"
24.08.2023,"730,20"
25.08.2023,"725,00"
28.08.2023,"735,00"
29.08.2023,"729,00"
30.08.2023,"730,00"
31.08.2023,"746,60"
01.09.2023,"740,40"
04.09.2023,"769,60"
05.09.2023,"761,40"
06.09.2023,"748,20"
07.09.2023,"730,20"
08.09.2023,"717,60"
11.09.2023,"663,00"
12.09.2023,"682,80"
13.09.2023,"645,00"
14.09.2023,"640,80"
15.09.2023,"645,20"
18.09.2023,"666,00"
20.10.2023,"619,60"
23.10.2023,"619,60"
24.10.2023,"611,00"
25.10.2023,"595,20"
26.10.2023,"590,20"
27.10.2023,"578,00"
30.10.2023,"589,80"
31.10.2023,"577,80"
01.11.2023,"586,00"
02.11.2023,"587,40"
03.11.2023,"615,60"
06.11.2023,"632,40"
07.11.2023,"630,00"
08.11.2023,"617,60"
09.11.2023,"604,40"
10.11.2023,"593,00"
13.11.2023,"608,00"
14.11.2023,"598,20"
15.11.2023,"607,00"
16.11.2023,"604,00"
17.11.2023,"614,80"
20.11.2023,"628,80"
21.11.2023,"636,40"
22.11.2023,"639,20"
23.11.2023,"627,80"
24.11.2023,"626,20"
27.11.2023,"613,60"
28.11.2023,"631,00"
29.11.2023,"625,80"
30.11.2023,"613,40"
01.12.2023,"602,40"
04.12.2023,"595,40"
05.12.2023,"601,40"
06.12.2023,"582,40"
07.12.2023,"580,00"
08.12.2023,"573,60"
11.12.2023,"539,80"
12.12.2023,"534,40"
13.12.2023,"554,80"
14.12.2023,"545,00"
15.12.2023,"566,80"
18.12.2023,"583,00"
